network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,is_anycast
2001:470:5:96::/64,290557,6252001,,0,0,
2001:470:5:97::/64,3469034,6252001,,0,0,
2001:470:5:98::/64,3469034,6252001,,0,0,
2001:470:5:99::/64,3686110,6252001,,0,0,
2001:470:5:9a::/64,3469034,6252001,,0,0,
2001:470:5:9b::/64,6252001,6252001,,0,0,
2001:470:5:9c::/64,3469034,6252001,,0,0,
2001:470:5:9d::/64,3865483,6252001,,0,0,
2001:470:5:9e::/64,3923057,6252001,,0,0,
2001:470:5:9f::/64,3469034,6252001,,0,0,
2001:470:5:a0::/64,6252001,6252001,,0,0,
2001:470:5:a1::/64,3932488,6252001,,0,0,
2001:470:5:a2::/64,3469034,6252001,,0,0,
2001:470:5:a3::/64,3686110,6252001,,0,0,
2001:470:5:a4::/64,6252001,6252001,,0,0,
2001:470:5:a5::/64,2635167,6252001,,0,0,
2001:470:5:a6::/64,1149361,6252001,,0,0,
2001:470:5:a7::/64,3017382,6252001,,0,0,
2001:470:5:a8::/64,3469034,6252001,,0,0,
2001:470:5:a9::/64,6252001,6252001,,0,0,
2001:470:5:aa::/63,3469034,6252001,,0,0,
2001:470:5:ac::/64,3469034,6252001,,0,0,
2001:470:5:ad::/64,6252001,6252001,,0,0,
2001:470:5:ae::/64,3508796,6252001,,0,0,
2001:470:5:af::/64,690791,6252001,,0,0,
2001:470:5:b0::/64,6252001,6252001,,0,0,
2001:470:5:b1::/64,3703430,6252001,,0,0,
2001:470:5:b2::/64,6252001,6252001,,0,0,
2001:470:5:b3::/64,1668284,6252001,,0,0,
2001:470:5:b4::/63,3865483,6252001,,0,0,
2001:470:5:b6::/64,3469034,6252001,,0,0,
2001:470:5:b7::/64,3624060,6252001,,0,0,
2001:470:5:b8::/64,3469034,6252001,,0,0,
2001:470:5:b9::/64,661882,6252001,,0,0,
2001:470:5:ba::/64,2017370,6252001,,0,0,
2001:470:5:bb::/64,3658394,6252001,,0,0,
2001:470:5:bc::/63,6252001,6252001,,0,0,
2001:470:5:be::/64,3175395,6252001,,0,0,
2001:470:5:bf::/64,6252001,6252001,,0,0,
